atm_name,transaction_date,No_Of_Withdrawals,no_of_cub_card_withdrawals,no_of_other_card_withdrawals,total_amount_withdrawn,amount_withdrawn_cub_card,amount_withdrawn_other_card,weekday,working_day
KK Nagar ATM,15/02/2016,172,111,61,958800,673100,285700,monday,W
Christ College ATM,15/02/2016,42,26,16,213900,167600,46300,monday,W
Big Street ATM,16/02/2016,107,36,71,392600,190100,202500,tuesday,W
Airport ATM,16/02/2016,98,74,24,588500,507400,81100,tuesday,W
KK Nagar ATM,16/02/2016,143,111,32,771800,660600,111200,tuesday,W
Christ College ATM,16/02/2016,135,63,72,507400,313200,194200,tuesday,W
Big Street ATM,17/02/2016,134,64,70,366700,244000,122700,wednesday,W
Mount Road ATM,17/02/2016,38,16,22,192600,99400,93200,wednesday,W
Airport ATM,17/02/2016,100,87,13,595100,555200,39900,wednesday,W
KK Nagar ATM,17/02/2016,190,123,67,1137000,859100,277900,wednesday,W
Christ College ATM,17/02/2016,160,71,89,795500,435800,359700,wednesday,W
Big Street ATM,18/02/2016,147,59,88,647900,322300,325600,thursday,W
Mount Road ATM,18/02/2016,33,19,14,131100,103300,27800,thursday,W
Airport ATM,18/02/2016,109,87,22,593100,544000,49100,thursday,W
KK Nagar ATM,18/02/2016,78,48,30,413300,335300,78000,thursday,W
Christ College ATM,18/02/2016,143,67,76,512400,321300,191100,thursday,W
Big Street ATM,19/02/2016,144,34,110,435600,159600,276000,friday,W
Mount Road ATM,19/02/2016,27,16,11,55100,44100,11000,friday,W
Airport ATM,19/02/2016,115,87,28,517600,443700,73900,friday,W
KK Nagar ATM,19/02/2016,44,34,10,149700,112800,36900,friday,W
Christ College ATM,19/02/2016,162,56,106,734500,364700,369800,friday,W
Big Street ATM,20/02/2016,147,34,113,535100,125800,409300,saturday,H
Mount Road ATM,20/02/2016,68,26,42,296300,159500,136800,saturday,H
Airport ATM,20/02/2016,61,49,12,407800,377900,29900,saturday,H
KK Nagar ATM,20/02/2016,108,78,30,703700,586600,117100,saturday,H
Christ College ATM,20/02/2016,148,58,90,812100,487900,324200,saturday,H
Big Street ATM,21/02/2016,181,48,133,652400,225800,426600,sunday,H
Mount Road ATM,21/02/2016,98,43,55,350500,251500,99000,sunday,H
Airport ATM,21/02/2016,60,41,19,331000,271500,59500,sunday,H
KK Nagar ATM,21/02/2016,85,51,34,187500,130800,56700,sunday,H
Big Street ATM,22/02/2016,130,51,79,400300,229400,170900,monday,W
Mount Road ATM,22/02/2016,4,2,2,18000,5000,13000,monday,W
Airport ATM,22/02/2016,48,34,14,202500,160100,42400,monday,W
KK Nagar ATM,22/02/2016,93,48,45,164400,110600,53800,monday,W
Christ College ATM,22/02/2016,203,61,142,957400,425100,532300,monday,W
Big Street ATM,23/02/2016,165,65,100,666700,411500,255200,tuesday,W
Mount Road ATM,23/02/2016,40,25,15,233600,212000,21600,tuesday,W
Airport ATM,23/02/2016,54,45,9,120900,109100,11800,tuesday,W
KK Nagar ATM,23/02/2016,212,128,84,989800,659500,330300,tuesday,W
Christ College ATM,23/02/2016,162,79,83,759800,440800,319000,tuesday,W
Big Street ATM,24/02/2016,121,43,78,399700,201500,198200,wednesday,W
Mount Road ATM,24/02/2016,13,10,3,28400,22700,5700,wednesday,W
Airport ATM,24/02/2016,48,37,11,228600,196500,32100,wednesday,W
KK Nagar ATM,24/02/2016,28,22,6,102400,84600,17800,wednesday,W
Christ College ATM,24/02/2016,121,50,71,331200,142900,188300,wednesday,W
Big Street ATM,25/02/2016,136,38,98,434200,160700,273500,thursday,W
Mount Road ATM,25/02/2016,59,30,29,199900,148700,51200,thursday,W
Airport ATM,25/02/2016,34,29,5,209200,193700,15500,thursday,W
KK Nagar ATM,25/02/2016,106,76,30,573400,435400,138000,thursday,W
Christ College ATM,25/02/2016,163,70,93,647600,397500,250100,thursday,W
Big Street ATM,26/02/2016,135,59,76,591800,349300,242500,friday,W
Mount Road ATM,26/02/2016,11,2,9,13700,2800,10900,friday,W
Airport ATM,26/02/2016,60,45,15,229900,182900,47000,friday,W
KK Nagar ATM,26/02/2016,84,66,18,695100,589400,105700,friday,W
Christ College ATM,26/02/2016,144,62,82,616100,318300,297800,friday,W
Big Street ATM,27/02/2016,141,40,101,527500,243600,283900,saturday,H
Airport ATM,27/02/2016,46,38,8,323300,299500,23800,saturday,H
KK Nagar ATM,27/02/2016,37,27,10,137000,112600,24400,saturday,H
Christ College ATM,27/02/2016,135,56,79,661300,311300,350000,saturday,H
Big Street ATM,28/02/2016,150,45,105,470100,211900,258200,sunday,H
Airport ATM,28/02/2016,107,80,27,493500,448100,45400,sunday,H
KK Nagar ATM,28/02/2016,123,79,44,484100,346700,137400,sunday,H
Christ College ATM,28/02/2016,120,45,75,316400,130500,185900,sunday,H
Big Street ATM,29/02/2016,142,48,94,632800,326400,306400,monday,W
Mount Road ATM,29/02/2016,44,24,20,156600,110500,46100,monday,W
Airport ATM,29/02/2016,109,84,25,744100,630200,113900,monday,W
KK Nagar ATM,29/02/2016,68,53,15,366500,326200,40300,monday,W
Christ College ATM,29/02/2016,132,64,68,601500,285500,316000,monday,W
Big Street ATM,01/03/2016,169,43,126,665800,219800,446000,tuesday,W
Mount Road ATM,01/03/2016,33,21,12,100300,67600,32700,tuesday,W
Airport ATM,01/03/2016,48,37,11,249000,213500,35500,tuesday,W
KK Nagar ATM,01/03/2016,177,138,39,979600,802400,177200,tuesday,W
Christ College ATM,01/03/2016,109,64,45,514300,317200,197100,tuesday,W
Big Street ATM,02/03/2016,97,32,65,402900,132600,270300,wednesday,W
Mount Road ATM,02/03/2016,98,47,51,446200,269900,176300,wednesday,W
Airport ATM,02/03/2016,71,54,17,215100,179500,35600,wednesday,W
KK Nagar ATM,02/03/2016,180,135,45,1194400,923500,270900,wednesday,W
Christ College ATM,02/03/2016,61,30,31,279800,177300,102500,wednesday,W
Mount Road ATM,03/03/2016,52,34,18,324900,279700,45200,thursday,W
Airport ATM,03/03/2016,85,63,22,443800,354400,89400,thursday,W
KK Nagar ATM,03/03/2016,97,68,29,737000,573900,163100,thursday,W
Christ College ATM,03/03/2016,137,65,72,742200,427600,314600,thursday,W
Big Street ATM,04/03/2016,113,37,76,345000,150600,194400,friday,W
Mount Road ATM,04/03/2016,106,64,42,462700,377200,85500,friday,W
Airport ATM,04/03/2016,73,60,13,348600,311900,36700,friday,W
KK Nagar ATM,04/03/2016,184,136,48,977200,800900,176300,friday,W
Christ College ATM,04/03/2016,135,71,64,800300,523700,276600,friday,W
Big Street ATM,05/03/2016,168,51,117,628700,262700,366000,saturday,H
Mount Road ATM,05/03/2016,82,39,43,369200,265200,104000,saturday,H
Airport ATM,05/03/2016,100,76,24,583000,494000,89000,saturday,H
KK Nagar ATM,05/03/2016,135,95,40,867000,656900,210100,saturday,H
Christ College ATM,05/03/2016,150,78,72,963200,608600,354600,saturday,H
Big Street ATM,06/03/2016,156,50,106,594300,284900,309400,sunday,H
Mount Road ATM,06/03/2016,120,50,70,444100,257000,187100,sunday,H
Airport ATM,06/03/2016,79,60,19,489400,418500,70900,sunday,H
KK Nagar ATM,06/03/2016,110,77,33,388400,238600,149800,sunday,H
Christ College ATM,06/03/2016,119,58,61,421000,244500,176500,sunday,H
Big Street ATM,07/03/2016,134,33,101,415300,91600,323700,monday,W
Mount Road ATM,07/03/2016,8,4,4,29800,22000,7800,monday,W
Airport ATM,07/03/2016,110,89,21,699100,614400,84700,monday,W
KK Nagar ATM,07/03/2016,48,35,13,149500,113600,35900,monday,W
Christ College ATM,07/03/2016,202,70,132,876700,362200,514500,monday,W
Big Street ATM,08/03/2016,109,39,70,479400,238700,240700,tuesday,W
Mount Road ATM,08/03/2016,32,17,15,120000,82900,37100,tuesday,W
Airport ATM,08/03/2016,57,36,21,355300,281100,74200,tuesday,W
KK Nagar ATM,08/03/2016,115,91,24,784200,689600,94600,tuesday,W
Christ College ATM,08/03/2016,146,73,73,628200,299500,328700,tuesday,W
Big Street ATM,09/03/2016,152,47,105,569100,257500,311600,wednesday,W
Mount Road ATM,09/03/2016,39,19,20,129100,70700,58400,wednesday,W
Airport ATM,09/03/2016,75,50,25,523600,391100,132500,wednesday,W
KK Nagar ATM,09/03/2016,56,42,14,365600,282200,83400,wednesday,W
Christ College ATM,09/03/2016,158,72,86,814800,417200,397600,wednesday,W
Big Street ATM,10/03/2016,171,61,110,926100,462400,463700,thursday,W
Mount Road ATM,10/03/2016,33,17,16,108500,54800,53700,thursday,W
Airport ATM,10/03/2016,54,38,16,408900,299800,109100,thursday,W
Christ College ATM,10/03/2016,140,59,81,760900,343500,417400,thursday,W
Big Street ATM,11/03/2016,161,57,104,567600,250900,316700,friday,W
Airport ATM,11/03/2016,78,58,20,468000,353500,114500,friday,W
KK Nagar ATM,11/03/2016,70,60,10,690800,641100,49700,friday,W
Christ College ATM,11/03/2016,141,71,70,590300,375900,214400,friday,W
Big Street ATM,12/03/2016,165,41,124,545500,157800,387700,saturday,H
Mount Road ATM,12/03/2016,46,13,33,122500,72800,49700,saturday,H
Airport ATM,12/03/2016,111,84,27,566600,452100,114500,saturday,H
KK Nagar ATM,12/03/2016,145,98,47,702100,469700,232400,saturday,H
Christ College ATM,12/03/2016,161,82,79,780100,457000,323100,saturday,H
Big Street ATM,13/03/2016,152,49,103,493800,228600,265200,sunday,H
Mount Road ATM,13/03/2016,111,47,64,281500,178500,103000,sunday,H
Airport ATM,13/03/2016,46,31,15,268300,216100,52200,sunday,H
KK Nagar ATM,13/03/2016,155,124,31,834400,754800,79600,sunday,H
Christ College ATM,13/03/2016,134,53,81,513300,250000,263300,sunday,H
Big Street ATM,14/03/2016,135,52,83,454700,226200,228500,monday,W
Mount Road ATM,14/03/2016,64,37,27,257100,216900,40200,monday,W
Airport ATM,14/03/2016,53,36,17,214500,185800,28700,monday,W
KK Nagar ATM,14/03/2016,156,128,28,969100,821100,148000,monday,W
Christ College ATM,14/03/2016,153,66,87,754200,445200,309000,monday,W
Big Street ATM,15/03/2016,140,40,100,580700,214800,365900,tuesday,W
Mount Road ATM,15/03/2016,34,21,13,210500,192300,18200,tuesday,W
Airport ATM,15/03/2016,33,28,5,143700,140200,3500,tuesday,W
KK Nagar ATM,15/03/2016,116,87,29,635200,531100,104100,tuesday,W
Christ College ATM,15/03/2016,127,64,63,602200,392500,209700,tuesday,W
Big Street ATM,16/03/2016,130,37,93,501400,222100,279300,wednesday,W
Mount Road ATM,16/03/2016,48,32,16,317200,282000,35200,wednesday,W
Airport ATM,16/03/2016,69,61,8,400400,383700,16700,wednesday,W
KK Nagar ATM,16/03/2016,85,65,20,599900,501100,98800,wednesday,W
Christ College ATM,16/03/2016,121,62,59,569800,373900,195900,wednesday,W
Big Street ATM,17/03/2016,117,36,81,398100,232300,165800,thursday,W
Airport ATM,17/03/2016,109,82,27,498900,407100,91800,thursday,W
KK Nagar ATM,17/03/2016,107,83,24,770500,668000,102500,thursday,W
Christ College ATM,17/03/2016,140,71,69,729700,470700,259000,thursday,W
Big Street ATM,18/03/2016,119,42,77,441200,279100,162100,friday,W
Airport ATM,18/03/2016,125,90,35,608700,504300,104400,friday,W
Christ College ATM,18/03/2016,103,54,49,462500,254500,208000,friday,W
Big Street ATM,19/03/2016,101,31,70,273000,102400,170600,saturday,H
Airport ATM,19/03/2016,31,23,8,141800,104300,37500,saturday,H
KK Nagar ATM,19/03/2016,156,119,37,1052100,872400,179700,saturday,H
Christ College ATM,19/03/2016,125,63,62,611800,379600,232200,saturday,H
Big Street ATM,20/03/2016,150,46,104,605700,246500,359200,sunday,H
Mount Road ATM,20/03/2016,62,25,37,191500,111800,79700,sunday,H
Airport ATM,20/03/2016,82,55,27,221200,182300,38900,sunday,H
KK Nagar ATM,20/03/2016,127,88,39,497400,405800,91600,sunday,H
Christ College ATM,20/03/2016,107,50,57,308500,155400,153100,sunday,H
Big Street ATM,21/03/2016,134,55,79,558400,326800,231600,monday,W
Mount Road ATM,21/03/2016,54,31,23,265600,200800,64800,monday,W
Airport ATM,21/03/2016,86,59,27,328800,197900,130900,monday,W
KK Nagar ATM,21/03/2016,118,86,32,736200,603400,132800,monday,W
Christ College ATM,21/03/2016,146,74,72,740600,484900,255700,monday,W
Big Street ATM,22/03/2016,127,37,90,467500,235100,232400,tuesday,W
Mount Road ATM,22/03/2016,48,32,16,191300,146700,44600,tuesday,W
Airport ATM,22/03/2016,63,52,11,267800,248900,18900,tuesday,W
KK Nagar ATM,22/03/2016,73,63,10,489600,448700,40900,tuesday,W
Christ College ATM,22/03/2016,129,58,71,650000,385000,265000,tuesday,W
Big Street ATM,23/03/2016,143,52,91,453900,164800,289100,wednesday,W
Mount Road ATM,23/03/2016,22,14,8,43200,38500,4700,wednesday,W
Airport ATM,23/03/2016,71,51,20,416000,329500,86500,wednesday,W
KK Nagar ATM,23/03/2016,83,67,16,505200,446300,58900,wednesday,W
Christ College ATM,23/03/2016,104,65,39,505900,320000,185900,wednesday,W
Big Street ATM,24/03/2016,26,5,21,53800,4400,49400,thursday,W
Airport ATM,24/03/2016,50,39,11,240200,222800,17400,thursday,W
KK Nagar ATM,24/03/2016,107,76,31,761000,586400,174600,thursday,W
Christ College ATM,24/03/2016,117,63,54,675900,495400,180500,thursday,W
Big Street ATM,25/03/2016,99,19,80,222900,55800,167100,friday,H
KK Nagar ATM,25/03/2016,179,131,48,889900,716500,173400,friday,H
Christ College ATM,25/03/2016,26,20,6,103100,96800,6300,friday,H
Big Street ATM,26/03/2016,124,32,92,384700,143100,241600,saturday,H
Airport ATM,26/03/2016,35,25,10,124800,112200,12600,saturday,H
KK Nagar ATM,26/03/2016,18,17,1,50500,48500,2000,saturday,H
Big Street ATM,27/03/2016,105,31,74,240300,84900,155400,sunday,H
Airport ATM,27/03/2016,13,7,6,96700,72500,24200,sunday,H
Big Street ATM,28/03/2016,55,16,39,173100,75900,97200,monday,W
Mount Road ATM,28/03/2016,19,14,5,83100,62600,20500,monday,W
Airport ATM,28/03/2016,36,26,10,330000,293700,36300,monday,W
KK Nagar ATM,28/03/2016,154,107,47,975500,725000,250500,monday,W
Christ College ATM,28/03/2016,137,76,61,592600,440500,152100,monday,W
Mount Road ATM,29/03/2016,40,20,20,103000,74300,28700,tuesday,W
Airport ATM,29/03/2016,48,30,18,191400,145000,46400,tuesday,W
KK Nagar ATM,29/03/2016,178,145,33,1191000,1017700,173300,tuesday,W
Christ College ATM,29/03/2016,109,59,50,424900,307200,117700,tuesday,W
Big Street ATM,30/03/2016,38,11,27,82200,19800,62400,wednesday,W
Mount Road ATM,30/03/2016,45,31,14,229800,195800,34000,wednesday,W
Airport ATM,30/03/2016,79,58,21,380400,305300,75100,wednesday,W
KK Nagar ATM,30/03/2016,107,86,21,715100,608400,106700,wednesday,W
Christ College ATM,30/03/2016,134,75,59,713100,463800,249300,wednesday,W
Big Street ATM,31/03/2016,105,33,72,427400,181000,246400,thursday,W
Mount Road ATM,31/03/2016,45,24,21,237100,195500,41600,thursday,W
Airport ATM,31/03/2016,94,66,28,690000,532300,157700,thursday,W
KK Nagar ATM,31/03/2016,3,3,0,1000,1000,0,thursday,W
Christ College ATM,31/03/2016,142,84,58,662700,396300,266400,thursday,W
Mount Road ATM,01/04/2016,69,35,34,295000,171300,123700,friday,W
Airport ATM,01/04/2016,19,14,5,104900,81300,23600,friday,W
KK Nagar ATM,01/04/2016,157,157,0,822200,822200,0,friday,W
Christ College ATM,01/04/2016,69,43,26,294100,196000,98100,friday,W
Big Street ATM,02/04/2016,35,7,28,129900,7900,122000,saturday,H
Mount Road ATM,02/04/2016,63,17,46,296700,161400,135300,saturday,H
Airport ATM,02/04/2016,22,15,7,79600,61800,17800,saturday,H
KK Nagar ATM,02/04/2016,117,117,0,587700,587700,0,saturday,H
Christ College ATM,02/04/2016,87,28,59,387200,147800,239400,saturday,H
Big Street ATM,03/04/2016,90,26,64,391200,154300,236900,sunday,H
Mount Road ATM,03/04/2016,16,9,7,57900,36400,21500,sunday,H
Airport ATM,03/04/2016,46,34,12,307200,256800,50400,sunday,H
KK Nagar ATM,03/04/2016,158,158,0,816000,816000,0,sunday,H
Christ College ATM,03/04/2016,164,73,91,638600,284400,354200,sunday,H
Big Street ATM,04/04/2016,111,29,82,480600,129600,351000,monday,W
Mount Road ATM,04/04/2016,47,35,12,240100,192900,47200,monday,W
Airport ATM,04/04/2016,35,28,7,288400,245800,42600,monday,W
KK Nagar ATM,04/04/2016,36,31,5,125100,111600,13500,monday,W
Christ College ATM,04/04/2016,180,53,127,982000,375700,606300,monday,W
Big Street ATM,05/04/2016,121,29,92,487100,139300,347800,tuesday,W
Mount Road ATM,05/04/2016,84,50,34,517100,404700,112400,tuesday,W
Airport ATM,05/04/2016,39,32,7,182800,163300,19500,tuesday,W
KK Nagar ATM,05/04/2016,123,93,30,875100,698100,177000,tuesday,W
Christ College ATM,05/04/2016,132,48,84,591300,254300,337000,tuesday,W
Big Street ATM,06/04/2016,134,47,87,574500,284100,290400,wednesday,W
Mount Road ATM,06/04/2016,34,23,11,200900,175300,25600,wednesday,W
Airport ATM,06/04/2016,81,62,19,499600,446200,53400,wednesday,W
KK Nagar ATM,06/04/2016,65,50,15,278700,201100,77600,wednesday,W
Christ College ATM,06/04/2016,222,101,121,1262600,617000,645600,wednesday,W
Big Street ATM,07/04/2016,122,34,88,421300,160500,260800,thursday,W
Mount Road ATM,07/04/2016,69,50,19,313600,272800,40800,thursday,W
Airport ATM,07/04/2016,42,27,15,243800,173700,70100,thursday,W
KK Nagar ATM,07/04/2016,77,53,24,540100,467300,72800,thursday,W
Christ College ATM,07/04/2016,104,57,47,455200,266800,188400,thursday,W
Big Street ATM,08/04/2016,10,6,4,10700,4400,6300,friday,H
Airport ATM,08/04/2016,37,23,14,120200,87200,33000,friday,H
KK Nagar ATM,08/04/2016,150,109,41,898800,681000,217800,friday,H
Big Street ATM,09/04/2016,104,26,78,399900,127100,272800,saturday,H
Mount Road ATM,09/04/2016,170,83,87,736400,483000,253400,saturday,H
Airport ATM,09/04/2016,132,98,34,856100,666700,189400,saturday,H
KK Nagar ATM,09/04/2016,97,61,36,682000,456000,226000,saturday,H
Big Street ATM,10/04/2016,79,19,60,217500,85800,131700,sunday,H
Mount Road ATM,10/04/2016,226,72,154,694900,266100,428800,sunday,H
Airport ATM,10/04/2016,46,33,13,281700,216200,65500,sunday,H
KK Nagar ATM,10/04/2016,120,61,59,566900,265700,301200,sunday,H
Big Street ATM,11/04/2016,150,38,112,472600,205100,267500,monday,W
Mount Road ATM,11/04/2016,114,56,58,409400,257800,151600,monday,W
Airport ATM,11/04/2016,39,28,11,177700,145800,31900,monday,W
KK Nagar ATM,11/04/2016,17,10,7,145200,85700,59500,monday,W
Christ College ATM,11/04/2016,182,63,119,827600,372400,455200,monday,W
Big Street ATM,12/04/2016,163,53,110,632300,337100,295200,tuesday,W
Mount Road ATM,12/04/2016,47,32,15,179700,114900,64800,tuesday,W
Airport ATM,12/04/2016,51,42,9,332100,313900,18200,tuesday,W
KK Nagar ATM,12/04/2016,60,45,15,350500,319100,31400,tuesday,W
Christ College ATM,12/04/2016,151,83,68,773100,518900,254200,tuesday,W
Big Street ATM,13/04/2016,142,53,89,654800,380900,273900,wednesday,W
Mount Road ATM,13/04/2016,29,14,15,89900,45500,44400,wednesday,W
Airport ATM,13/04/2016,71,51,20,475800,375200,100600,wednesday,W
KK Nagar ATM,13/04/2016,132,113,19,782100,721400,60700,wednesday,W
Christ College ATM,13/04/2016,185,75,110,1005600,536800,468800,wednesday,W
Big Street ATM,14/04/2016,45,13,32,144600,46700,97900,thursday,H
KK Nagar ATM,14/04/2016,31,23,8,169500,129500,40000,thursday,H
Christ College ATM,14/04/2016,147,37,110,348300,92800,255500,thursday,H
Mount Road ATM,15/04/2016,14,11,3,60000,47700,12300,friday,W
Airport ATM,15/04/2016,16,14,2,96800,91200,5600,friday,W
KK Nagar ATM,15/04/2016,268,179,89,1474500,1113700,360800,friday,W
Christ College ATM,15/04/2016,186,83,103,905000,502600,402400,friday,W
Big Street ATM,16/04/2016,112,40,72,452700,214100,238600,saturday,H
Mount Road ATM,16/04/2016,30,12,18,61700,19700,42000,saturday,H
Airport ATM,16/04/2016,62,51,11,405900,364300,41600,saturday,H
KK Nagar ATM,16/04/2016,147,109,38,865000,737000,128000,saturday,H
Christ College ATM,16/04/2016,161,82,79,882500,631700,250800,saturday,H
Big Street ATM,17/04/2016,118,30,88,376800,136800,240000,sunday,H
Airport ATM,17/04/2016,69,55,14,302400,286800,15600,sunday,H
KK Nagar ATM,17/04/2016,100,74,26,349300,283700,65600,sunday,H
Christ College ATM,17/04/2016,4,2,2,900,300,600,sunday,H
Big Street ATM,18/04/2016,152,62,90,643300,360400,282900,monday,W
Mount Road ATM,18/04/2016,16,11,5,60000,38200,21800,monday,W
Airport ATM,18/04/2016,63,54,9,441700,410400,31300,monday,W
KK Nagar ATM,18/04/2016,96,74,22,588400,489100,99300,monday,W
Christ College ATM,18/04/2016,99,42,57,351700,175100,176600,monday,W
Big Street ATM,19/04/2016,140,46,94,516400,267600,248800,tuesday,H
Airport ATM,19/04/2016,50,41,9,405200,351200,54000,tuesday,H
KK Nagar ATM,19/04/2016,60,45,15,329400,254800,74600,tuesday,H
Christ College ATM,19/04/2016,100,48,52,529200,268800,260400,tuesday,H
Big Street ATM,20/04/2016,133,42,91,442300,243800,198500,wednesday,W
Mount Road ATM,20/04/2016,27,17,10,60000,28200,31800,wednesday,W
Airport ATM,20/04/2016,27,19,8,203400,177500,25900,wednesday,W
KK Nagar ATM,20/04/2016,130,92,38,835800,631800,204000,wednesday,W
Christ College ATM,20/04/2016,149,68,81,629900,284800,345100,wednesday,W
Big Street ATM,21/04/2016,99,22,77,276400,85800,190600,thursday,W
Mount Road ATM,21/04/2016,18,9,9,43500,37100,6400,thursday,W
KK Nagar ATM,21/04/2016,187,151,36,1110000,949800,160200,thursday,W
Christ College ATM,21/04/2016,12,3,9,63200,26000,37200,thursday,W
Big Street ATM,22/04/2016,134,50,84,547900,245000,302900,friday,W
Mount Road ATM,22/04/2016,21,16,5,181300,145300,36000,friday,W
KK Nagar ATM,22/04/2016,77,65,12,459000,413900,45100,friday,W
Christ College ATM,22/04/2016,89,46,43,451100,271300,179800,friday,W
Big Street ATM,23/04/2016,132,29,103,448100,187900,260200,saturday,H
Mount Road ATM,23/04/2016,76,31,45,304100,168000,136100,saturday,H
KK Nagar ATM,23/04/2016,110,84,26,559000,447000,112000,saturday,H
Christ College ATM,23/04/2016,119,61,58,710700,426500,284200,saturday,H
Big Street ATM,24/04/2016,23,9,14,75200,27700,47500,sunday,H
Mount Road ATM,24/04/2016,13,4,9,35000,9500,25500,sunday,H
Christ College ATM,24/04/2016,93,32,61,318000,137000,181000,sunday,H
Big Street ATM,25/04/2016,49,18,31,236100,141200,94900,monday,W
Airport ATM,25/04/2016,31,22,9,140700,96900,43800,monday,W
KK Nagar ATM,25/04/2016,81,57,24,549900,461100,88800,monday,W
Christ College ATM,25/04/2016,108,50,58,533900,298400,235500,monday,W
Big Street ATM,26/04/2016,125,52,73,438700,259400,179300,tuesday,W
Airport ATM,26/04/2016,28,25,3,238400,229900,8500,tuesday,W
KK Nagar ATM,26/04/2016,198,147,51,1030800,806500,224300,tuesday,W
Christ College ATM,26/04/2016,102,50,52,470600,335300,135300,tuesday,W
Big Street ATM,27/04/2016,133,42,91,381400,140400,241000,wednesday,W
Mount Road ATM,27/04/2016,26,24,2,135500,129500,6000,wednesday,W
Airport ATM,27/04/2016,27,21,6,155900,121400,34500,wednesday,W
KK Nagar ATM,27/04/2016,131,103,28,838800,682000,156800,wednesday,W
Christ College ATM,27/04/2016,103,57,46,446800,319000,127800,wednesday,W
Big Street ATM,28/04/2016,100,32,68,305200,149400,155800,thursday,W
Mount Road ATM,28/04/2016,43,13,30,114200,22900,91300,thursday,W
Airport ATM,28/04/2016,69,58,11,425600,386900,38700,thursday,W
KK Nagar ATM,28/04/2016,98,78,20,495200,428200,67000,thursday,W
Christ College ATM,28/04/2016,86,31,55,328000,159600,168400,thursday,W
Big Street ATM,29/04/2016,101,31,70,306300,112800,193500,friday,W
Mount Road ATM,29/04/2016,6,6,0,33500,33500,0,friday,W
Airport ATM,29/04/2016,35,29,6,233700,210500,23200,friday,W
KK Nagar ATM,29/04/2016,158,115,43,886600,684600,202000,friday,W
Christ College ATM,29/04/2016,142,63,79,772700,451200,321500,friday,W
Big Street ATM,30/04/2016,135,49,86,494000,246000,248000,saturday,H
Airport ATM,30/04/2016,38,29,9,284700,245400,39300,saturday,H
KK Nagar ATM,30/04/2016,143,112,31,803400,685400,118000,saturday,H
Christ College ATM,30/04/2016,175,74,101,1062700,520000,542700,saturday,H
KK Nagar ATM,01/05/2016,56,42,14,187700,146500,41200,sunday,H
Christ College ATM,01/05/2016,10,5,5,23700,15000,8700,sunday,H
Big Street ATM,02/05/2016,96,43,53,395500,266000,129500,monday,W
Airport ATM,02/05/2016,21,9,12,137800,60000,77800,monday,W
KK Nagar ATM,02/05/2016,167,118,49,1145800,878700,267100,monday,W
Christ College ATM,02/05/2016,138,41,97,673900,208100,465800,monday,W
Big Street ATM,03/05/2016,102,38,64,340400,178100,162300,tuesday,W
Airport ATM,03/05/2016,9,6,3,46800,36000,10800,tuesday,W
KK Nagar ATM,03/05/2016,119,81,38,738700,530300,208400,tuesday,W
Christ College ATM,03/05/2016,121,57,64,626200,325200,301000,tuesday,W
Big Street ATM,04/05/2016,80,18,62,312600,82500,230100,wednesday,W
Mount Road ATM,04/05/2016,18,10,8,42500,29500,13000,wednesday,W
Airport ATM,04/05/2016,53,41,12,281800,257700,24100,wednesday,W
KK Nagar ATM,04/05/2016,181,143,38,1205400,973000,232400,wednesday,W
Christ College ATM,04/05/2016,129,68,61,672300,392300,280000,wednesday,W
Big Street ATM,05/05/2016,53,11,42,212700,72200,140500,thursday,W
Airport ATM,05/05/2016,22,18,4,164900,136600,28300,thursday,W
KK Nagar ATM,05/05/2016,89,79,10,706600,656800,49800,thursday,W
Christ College ATM,05/05/2016,92,50,42,521000,373100,147900,thursday,W
Big Street ATM,06/05/2016,68,25,43,258800,111300,147500,friday,W
Airport ATM,06/05/2016,12,11,1,69300,68300,1000,friday,W
KK Nagar ATM,06/05/2016,143,110,33,853400,711100,142300,friday,W
Christ College ATM,06/05/2016,141,66,75,633800,334800,299000,friday,W
Big Street ATM,07/05/2016,87,16,71,294300,49100,245200,saturday,H
Airport ATM,07/05/2016,115,94,21,626400,576000,50400,saturday,H
KK Nagar ATM,07/05/2016,50,34,16,202100,159900,42200,saturday,H
Christ College ATM,07/05/2016,155,70,85,865900,460600,405300,saturday,H
Big Street ATM,08/05/2016,148,25,123,458600,114800,343800,sunday,H
Mount Road ATM,08/05/2016,18,9,9,35500,20100,15400,sunday,H
Airport ATM,08/05/2016,87,74,13,432900,386400,46500,sunday,H
KK Nagar ATM,08/05/2016,2,2,0,20400,20400,0,sunday,H
Christ College ATM,08/05/2016,4,1,3,4500,200,4300,sunday,H
Big Street ATM,09/05/2016,149,40,109,602200,291200,311000,monday,W
Mount Road ATM,09/05/2016,35,19,16,141400,92700,48700,monday,W
Airport ATM,09/05/2016,69,57,12,411700,374200,37500,monday,W
KK Nagar ATM,09/05/2016,63,46,17,319700,275900,43800,monday,W
Christ College ATM,09/05/2016,96,43,53,485000,191600,293400,monday,W
Big Street ATM,10/05/2016,150,48,102,630200,304200,326000,tuesday,W
Mount Road ATM,10/05/2016,3,2,1,3800,3000,800,tuesday,W
Airport ATM,10/05/2016,40,25,15,228600,151900,76700,tuesday,W
KK Nagar ATM,10/05/2016,95,81,14,591500,515600,75900,tuesday,W
Christ College ATM,10/05/2016,200,54,146,934600,319400,615200,tuesday,W
